id,created_date,water_pH,TDS,water_temp
217467,2023-01-31 00:56:00,7.18,296,24.69
217468,2023-01-31 00:56:00,6.84,296,24.69
217469,2023-01-31 00:56:00,6.72,294,24.69
217470,2023-01-31 00:56:00,7.31,294,24.69
217471,2023-01-31 00:56:00,7.14,294,24.69
217475,2023-01-31 00:57:00,7.44,296,24.69
217478,2023-01-31 00:57:00,6.85,296,24.69
217479,2023-01-31 00:57:00,6.73,294,24.69
217480,2023-01-31 00:57:00,7.18,298,24.69
217483,2023-01-31 00:57:00,7.25,298,24.69
217487,2023-01-31 00:57:00,7.1,298,24.69
217490,2023-01-31 00:57:00,7.25,296,24.69
217491,2023-01-31 00:57:00,7.19,294,24.69
217493,2023-01-31 00:57:00,7.11,296,24.69
217494,2023-01-31 00:57:00,6.59,294,24.69
217497,2023-01-31 00:58:00,7.14,294,24.69
217498,2023-01-31 00:58:00,7.17,294,24.69
217504,2023-01-31 00:58:00,7.22,294,24.69
217506,2023-01-31 00:58:00,7.07,296,24.69
217508,2023-01-31 00:58:00,7.23,294,24.69
217514,2023-01-31 00:58:00,7.27,294,24.69
217515,2023-01-31 00:58:00,6.97,296,24.69
217516,2023-01-31 00:58:00,6.64,296,24.69
217517,2023-01-31 00:58:00,6.77,296,24.69
217518,2023-01-31 00:58:00,6.75,296,24.69
217523,2023-01-31 00:59:00,7.07,294,24.69
217527,2023-01-31 00:59:00,6.65,294,24.69
217528,2023-01-31 00:59:00,7.31,298,24.69
217529,2023-01-31 00:59:00,7.27,293,24.69
217532,2023-01-31 00:59:00,6.68,294,24.69
217533,2023-01-31 00:59:00,7.2,294,24.69
217534,2023-01-31 00:59:00,7.31,296,24.69
217536,2023-01-31 00:59:00,7.35,294,24.69
217539,2023-01-31 00:59:00,7.2,296,24.69
217541,2023-01-31 00:59:00,6.95,296,24.69
217549,2023-01-31 01:00:00,7.19,296,24.69
217551,2023-01-31 01:00:00,6.92,296,24.69
217552,2023-01-31 01:00:00,7.21,298,24.69
217553,2023-01-31 01:00:00,7.01,296,24.69
217557,2023-01-31 01:00:00,6.98,294,24.69
217559,2023-01-31 01:00:00,6.78,296,24.69
217560,2023-01-31 01:00:00,7.38,294,24.69
